City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
275,pisco,-13.7,-76.22,64.4,82,0,16.11,PE,1605495161
276,keighley,53.87,-1.91,53.01,90,84,10.0,GB,1605495161
277,camacha,33.08,-16.33,69.8,94,75,16.11,PT,1605495161
278,yantarnyy,54.87,19.94,48.2,87,89,8.95,RU,1605495162
279,cravo norte,6.3,-70.2,78.98,80,59,5.48,CO,1605495162
280,la libertad,-2.23,-80.9,68.49,84,100,11.48,EC,1605495162
281,quelimane,-17.88,36.89,66.2,88,20,2.8,MZ,1605495162
282,lompoc,34.64,-120.46,64.4,62,1,3.36,US,1605495162
283,ca mau,9.18,105.15,86.13,68,53,11.56,VN,1605495162
284,moerai,-22.43,-151.33,78.24,77,14,8.03,PF,1605495162
285,cilegon,-6.02,106.05,89.6,55,40,11.41,ID,1605495162
286,artyom,40.47,50.33,53.6,93,75,6.93,AZ,1605495163
287,ratnagiri,16.98,73.3,80.46,63,100,6.58,IN,1605495163
288,grindavik,63.84,-22.43,37.4,69,90,11.41,IS,1605495163
289,sri aman,1.24,111.46,82.4,78,20,2.24,MY,1605495163
290,verkhoyansk,67.54,133.38,-16.06,86,90,1.48,RU,1605495164
291,filadelfia,39.95,-75.16,55.4,66,90,19.46,US,1605495034
292,vernon,50.26,-119.27,39.2,60,0,3.36,CA,1605495164
293,malanje,-9.54,16.34,63.68,98,72,4.83,AO,1605495164
294,san cristobal,7.77,-72.22,66.79,92,92,3.0,VE,1605495164
295,najran,17.49,44.13,57.2,41,0,1.34,SA,1605495164
296,thap than,15.46,99.89,80.94,71,0,4.36,TH,1605495164
297,sao joao da barra,-21.64,-41.05,73.31,94,25,1.03,BR,1605495165
298,rockhampton,-23.38,150.5,91.4,43,40,8.05,AU,1605495165
299,wanaka,-44.7,169.15,67.69,40,28,6.98,NZ,1605495165
300,kastamonu,41.5,33.67,42.58,84,95,0.31,TR,1605495165
301,orlik,52.52,99.83,21.96,86,100,1.16,RU,1605495165
302,trelew,-43.25,-65.31,65.55,27,33,4.25,AR,1605495165
303,sena madureira,-9.07,-68.66,76.75,81,100,2.35,BR,1605495060
304,saint-philippe,-21.36,55.77,69.8,52,40,8.05,RE,1605495165
305,katherine,-14.47,132.27,100.4,24,36,10.29,AU,1605495165
306,christchurch,-43.53,172.63,66.99,63,18,28.86,NZ,1605494918
307,vanavara,60.34,102.28,0.88,92,15,7.2,RU,1605495165
308,date,42.47,140.87,47.23,60,94,20.4,JP,1605495166
309,karratha,-20.74,116.85,94.73,22,0,18.43,AU,1605495166
310,ravar,31.27,56.81,45.82,54,31,1.48,IR,1605495166
311,longyearbyen,78.22,15.64,19.4,62,75,24.16,SJ,1605495022
312,iwaki,37.05,140.88,66.99,71,75,9.17,JP,1605495166
313,leningradskiy,69.38,178.42,24.87,91,100,7.72,RU,1605495166
314,gorodishche,48.8,44.47,21.81,73,0,15.66,RU,1605495166
